"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"A"	""	"Operationer på nervsystemet"	""	""	""	""	"Punktion, punktionsbiopsi och andra mindre operationer, se TA"	""
"AA"	"A"	"Operationer på kraniet och intrakraniella strukturer"	""	""	""	"Hypofysen och corpus pineale"	""	""
"AAA"	"AA"	"Diagnostiska intrakraniella operationer"	""	""	""	""	"Avlägsnande av intraktraniell elektrod, se AEA"	""
"AAA"	""	""	""	""	""	""	"Implantation av stimuleringsutrustning eller injektionsport, se AAW"	""
"AAA"	""	""	""	""	""	""	"Stereotaktiska operationer, se AAG"	""
"AAA00"	"AAA"	"Explorativ kraniotomi"	""	""	""	""	""	""
"AAA10"	"AAA"	"Biopsi via kraniotomi"	""	""	""	""	"Stereotaktisk intrakraniell biopsi, se AAG00"	""
"AAA20"	"AAA"	"Inläggande av intrakraniell tryckmätare"	""	""	""	""	""	""
"AAA25"	"AAA"	"Inläggande av epidural tryckmätare"	""	""	""	""	""	""
"AAA27"	"AAA"	"Inläggande av intracerebral tryckmätare"	""	""	""	""	""	""
"AAA30"	"AAA"	"Inläggande av epidurala elektroder"	""	""	""	""	""	""
"AAA35"	"AAA"	"Inläggande av subdurala elektroder"	""	""	""	""	""	""
"AAA40"	"AAA"	"Inläggande av intracerebrala elektroder"	""	""	""	""	""	""
"AAA50"	"AAA"	"Intrakraniell endoskopi"	""	""	""	""	""	""
"AAA99"	"AAA"	"Annan diagnostisk intrakraniell operation"	""	""	""	""	""	""
"AAB"	"AA"	"Exstirpationer och destruktioner av intrakraniella förändringar"	""	""	""	"Transkraniell operation på hypofysen"	"Kraniobasala operationer, se AAE"	""
"AAB00"	"AAB"	"Exstirpation av intrakraniell förändring"	""	""	""	""	""	""
"AAB10"	"AAB"	"Resektion av intrakraniell förändring"	""	""	""	""	""	""
"AAB20"	"AAB"	"Destruktion av intrakraniell förändring"	""	""	""	""	""	""
"AAB30"	"AAB"	"Utrymning av spontant intrakraniellt hematom"	""	""	""	""	""	""
"AAB99"	"AAB"	"Annan operation på intrakraniell förändring"	""	""	""	""	""	""
"AAC"	"AA"	"Operationer för aneurysm och andra intrakraniella kärloperationer"	""	""	""	""	"Endovaskulära operationer, se AAL"	""
"AAC00"	"AAC"	"Stjälkligatur av intrakraniellt aneurysm"	""	""	""	""	""	""
"AAC05"	"AAC"	"Proximal ligatur av intrakraniellt aneurysm"	""	""	""	""	""	""
"AAC10"	"AAC"	"Väggförstärkning av intrakraniellt aneurysm"	""	""	""	""	""	""
"AAC15"	"AAC"	"Trapping av intrakraniellt aneurysm"	""	""	""	""	""	""
"AAC20"	"AAC"	"Intrakraniell kärlanastomos"	""	""	""	""	""	""
"AAC30"	"AAC"	"Ocklusion av intrakraniell fistel"	""	""	""	""	""	""
"AAC40"	"AAC"	"Exstirpation av intrakraniell arteriovenös missbildning"	""	""	""	""	""	""
"AAC99"	"AAC"	"Annan intrakraniell kärloperation"	""	""	""	""	""	""
"AAD"	"AA"	"Operationer p.g.a. kraniella och intrakraniella traumatiska förändringar"	""	""	""	""	"Partiell ektomi av skalltaket, se AAK80"	""
"AAD00"	"AAD"	"Utrymning av epiduralt hematom"	""	""	""	""	""	""
"AAD05"	"AAD"	"Utrymning av akut subduralt hematom"	""	""	""	""	""	""
"AAD10"	"AAD"	"Utrymning av kroniskt subduralt hematom"	""	""	""	""	""	""
"AAD15"	"AAD"	"Utrymning av traumatiskt intracerebralt hematom"	""	""	""	""	""	""
"AAD30"	"AAD"	"Revision av penetrerande eller perforerande skallskada"	""	""	""	"Avlägsnande av främmande kropp"	""	""
"AAD40"	"AAD"	"Revision av skallfraktur"	""	""	""	"Impressionsfraktur"	""	""
"AAD99"	"AAD"	"Annan operation p.g.a. kraniell eller intrakraniell traumatisk förändring"	""	""	""	""	""	""
"AAE"	"AA"	"Kraniobasala operationer"	""	""	""	"Operationer på hypofysen"	""	""
"AAE00"	"AAE"	"Transsfenoidal exploration"	""	""	""	""	""	""
"AAE10"	"AAE"	"Transsfenoidal total eller partiell exstirpation av intrakraniell förändring"	""	""	""	""	""	""
"AAE20"	"AAE"	"Transoral total eller partiell exstirpation av intrakraniell förändring"	""	""	""	""	""	""
"AAE25"	"AAE"	"Transcervikal total eller partiell exstirpation av intrakraniell förändring"	""	""	""	""	""	""
"AAE30"	"AAE"	"Translabyrintär total eller partiell exstirpation av intrakraniell förändring"	""	""	""	""	""	""
"AAE40"	"AAE"	"Transtemporal total eller partiell exstirpation av intrakraniell förändring"	""	""	""	""	""	""
"AAE50"	"AAE"	"Zygomatikotemporal total eller partiell exstirpation av intrakraniell förändring"	""	""	""	""	""	""
"AAE99"	"AAE"	"Annan kraniobasal operation"	""	""	""	""	""	""
"AAF"	"AA"	"Shuntoperationer på hjärnventrikel och intrakraniell cysta"	""	""	""	""	""	""
"AAF00"	"AAF"	"Ventrikulostomi"	""	""	""	"Externt dränage av hjärnventrikel"	""	""
"AAF05"	"AAF"	"Ventrikuloperitoneal shunt"	""	""	""	""	""	""
